Normalised City Pair,Departure Code,Arrival Code,Departure_lat,Departure_lon,Arrival_lat,Arrival_lon,Distance
"Madras, India - Singapore, Singapore",SIN,MAA,1.3,103.98,13.05,80.23,2924.11
"Atlanta, United States Of America - London, United Kingdom",LHR,ATL,51.5,-0.45,42.94,-83.53,6004.17
"New York, United States Of America - Tokyo, Japan",HND,JFK,35.6,139.75,40.64,-73.79,10874.14
"Dubai, United Arab Emirates - Madrid, Spain",DXB,MAD,51.5,-0.45,40.46,-3.58,1251.23
"London, United Kingdom - Manila, Philippines",MNL,LHR,1.3,103.98,51.47,-0.45,10889.04
"Beijing, China - Hong Kong, Hong Kong",PEK,HKG,40.1,116.58,22.32,113.94,1993.22
"Beirut, Lebanon - London, United Kingdom",BEY,LHR,33.8,35.49,51.47,-0.45,3483.59
"Jakarta-soekarno, Indonesia - Singapore, Singapore",CGK,SIN,-6.1,106.66,1.34,103.98,879.42
"London, United Kingdom - Orlando-intl, United States Of America",LGW,MCO,51.2,-0.16,28.44,-81.31,6993.46
"Newark, United States Of America - Zurich, Switzerland",ZRH,EWR,47.5,8.57,40.69,-74.18,6334.67
"Brussels, Belgium - New York, United States Of America",JFK,BRU,40.6,-73.79,50.89,4.48,5890.87
"Minneapolis, United States Of America - Newark, United States Of America",EWR,MSP,40.7,-74.18,44.88,-93.2,1616.25
"Madras, India - New York, United States Of America",JFK,MAA,40.6,-73.79,13.05,80.23,13480.21
"Bangalore, India - London, United Kingdom",LHR,BLR,51.5,-0.45,12.8,77.65,8078.23
"New York, United States Of America - Pittsburgh, United States Of America",LGA,PIT,40.8,-73.88,48.72,-94.74,1859.61
"Buenos Aires, Argentina - Miami, United States Of America",EZE,MIA,-34.8,-58.54,33.4,-110.87,9341.44
"Bogota, Colombia - New York, United States Of America",BOG,JFK,4.7,-74.14,40.64,-73.79,3997.63
"Frankfurt, Germany - Singapore, Singapore",FRA,SIN,50.1,8.56,1.34,103.98,10282.13
"Cape Town, South Africa - Durban, South Africa",DUR,CPT,-30,30.95,-33.97,18.59,1245.79
"Lima, Peru - New York, United States Of America",LIM,JFK,-12,-77.11,40.64,-73.79,5864.93
"New York, United States Of America - Sydney, Australia",JFK,SYD,34.1,-118.24,-33.92,151.23,12080.87
"London, United Kingdom - New York, United States Of America",LHR,JFK,51.5,-0.45,40.64,-73.79,5541.70
"Beijing, China - Hong Kong, Hong Kong",HKG,PEK,22.3,113.94,40.07,116.58,1992.12
"Chicago, United States Of America - San Francisco, United States Of America",ORD,SFO,41.6,-98.93,37.61,-122.39,2051.97
"San Francisco, United States Of America - Tokyo, Japan",HND,SFO,35.6,139.75,37.61,-122.39,8286.78
"Indianapolis, United States Of America - New York, United States Of America",IND,LGA,39.7,-86.3,40.77,-73.88,1060.37
"Frankfurt, Germany - Tokyo, Japan",FRA,NRT,50.1,8.56,35.75,140.39,9365.44
"New York, United States Of America - St. Louis, United States Of America",STL,LGA,38.7,-90.36,40.77,-73.88,1426.08
"Bilbao, Spain - Madrid, Spain",MAD,BIO,40.5,-3.58,43.31,-2.91,317.43
"Karachi, Pakistan - London, United Kingdom",LHR,KHI,25.3,55.35,24.9,67.15,1188.98
"Jeddah, Saudi Arabia - London, United Kingdom",JED,LHR,21.7,39.15,51.47,-0.45,4746.65
"Glasgow, United Kingdom - Southampton, United Kingdom",GLA,SOU,55.9,-4.43,50.95,-1.36,586.82
"Beijing, China - Newark, United States Of America",PEK,EWR,40.1,116.58,40.69,-74.18,10968.98
"Bombay, India - Delhi, India",BOM,DEL,19.1,72.86,28.66,77.26,1153.32
"Bermuda, Bermuda - London, United Kingdom",LGW,BDA,51.2,-0.16,32.37,-64.69,5544.25
"Birmingham, United Kingdom - Hamburg, Germany",BHX,HAM,52.5,-1.73,53.64,10.01,793.81
"London, United Kingdom - Nairobi, Kenya",NBO,LHR,-1.3,36.81,51.47,-0.45,6834.98
"Dubai, United Arab Emirates - Johannesburg, South Africa",JNB,DXB,-26.1,28.23,25.25,55.35,6410.91
"Delhi, India - Singapore, Singapore",DEL,SIN,28.7,77.26,1.34,103.98,4159.01
"Glasgow, United Kingdom - Singapore, Singapore",SIN,GLA,51.5,-0.45,55.86,-4.43,551.08
"Perth, Australia - Sydney, Australia",SYD,PER,-33.9,151.23,-31.94,115.97,3283.25
"Dallas, United States Of America - Houston, United States Of America",HOU,DAL,29.6,-90.72,36.72,-84.09,1003.50
"London, United Kingdom - Seoul, Republic Of Korea",ICN,LHR,37.5,126.66,51.47,-0.45,8869.61
"Birmingham, United Kingdom - Glasgow, United Kingdom",GLA,BHX,55.9,-4.43,52.45,-1.73,421.99
"Dubai, United Arab Emirates - Singapore, Singapore",DXB,SIN,25.3,55.35,1.34,103.98,5850.66
"Singapore, Singapore - Sydney, Australia",SYD,SIN,-33.9,151.23,1.34,103.98,6297.43
"Bombay, India - Hong Kong, Hong Kong",HKG,BOM,22.3,113.94,19.09,72.86,4276.51
"Dubai, United Arab Emirates - New York, United States Of America",JFK,DXB,40.6,-73.79,25.25,55.35,11007.78
"Hong Kong, Hong Kong - Kuala Lumpur, Malaysia",HKG,KUL,22.3,113.94,2.76,101.71,2542.99
"Gaborone, Botswana - Johannesburg, South Africa",GBE,JNB,-24.6,25.93,-26.13,28.23,287.03
"Doha, Qatar - London, United Kingdom",DOH,LHR,25.3,51.56,51.47,-0.45,5236.66
"London, United Kingdom - Toronto, Canada",YYZ,LHR,43.7,-79.61,51.47,-0.45,5706.57
"Nashville, United States Of America - New York, United States Of America",LGA,BNA,40.8,-73.88,36.13,-86.67,1227.40
"London, United Kingdom - Osaka, Japan",KIX,LHR,41.9,12.5,51.47,-0.45,1448.19
"Jakarta-soekarno, Indonesia - Singapore, Singapore",CGK,SIN,-6.1,106.66,1.34,103.98,879.42
"New York, United States Of America - Tel Aviv-yafo, Israel",JFK,TLV,40.6,-73.79,32.01,34.89,9123.29
"Paris, France - Toulouse, France",TLS,ORY,43.6,1.38,48.73,2.37,575.65
"Birmingham, United Kingdom - Dubai, United Arab Emirates",BHX,DXB,52.5,-1.73,25.25,55.35,5603.92
"Hamburg, Germany - Manchester, United Kingdom",MAN,HAM,53.4,0.1,53.64,10.01,655.35
"London, United Kingdom - Munich, Germany",LCY,MUC,51.5,0.05,48.34,11.77,908.63
"Seoul, Republic Of Korea - Singapore, Singapore",SIN,ICN,1.3,103.98,37.45,126.66,4643.27
"Columbus, United States Of America - New York, United States Of America",LGA,CMH,40.8,-73.88,40,-82.89,768.00
"Hong Kong, Hong Kong - Seoul, Republic Of Korea",ICN,HKG,37.5,126.66,22.32,113.94,2082.20
"Johannesburg, South Africa - New York, United States Of America",JFK,JNB,40.6,-73.79,-26.13,28.23,12832.92
"London, United Kingdom - Tselinograd, Kazakhstan",LHR,TSE,50.1,8.56,51.03,71.48,4307.81
"Dubai, United Arab Emirates - Manchester, United Kingdom",MAN,DXB,53.4,0.1,25.25,55.35,5502.48
"Dubai, United Arab Emirates - Riyadh, Saudi Arabia",DXB,RUH,25.3,55.35,24.94,46.71,870.87
"New York, United States Of America - Tokyo, Japan",NRT,JFK,35.8,140.39,40.64,-73.79,10829.36
"Newark, United States Of America - Shanghai, China",EWR,PVG,40.7,-74.18,31.12,121.8,11864.93
"Geneva, Switzerland - Zurich, Switzerland",ZRH,GVA,47.5,8.57,46.23,6.11,234.40
"Isle Of Man, United Kingdom - Jersey-channel Islands, United Kingdom",IOM,JER,53.4,0.1,49.21,-2.19,492.42
"Hong Kong, Hong Kong - Seoul, Republic Of Korea",HKG,ICN,22.3,113.94,37.45,126.66,2079.77
"New York, United States Of America - San Francisco, United States Of America",SFO,JFK,37.6,-122.39,40.64,-73.79,4154.00
"London, United Kingdom - Tokyo, Japan",LHR,HND,51.5,-0.45,35.55,139.75,9590.12
"Madrid, Spain - Madrid, Spain",MAD,MAD,51.5,-0.45,40.46,-3.58,1251.23
"Geneva, Switzerland - New York, United States Of America",JFK,GVA,40.6,-73.79,46.23,6.11,6206.70
"Cincinnati, United States Of America - New York, United States Of America",LGA,CVG,40.8,-73.88,39.06,-84.66,938.94
"Geneva, Switzerland - Sao Paulo, Brazil",GVA,GRU,49,2.54,-23.42,-46.48,9405.17
"Abuja, Nigeria - London, United Kingdom",LHR,ABV,51.5,-0.45,9.01,7.27,4778.35
"Ankara-esenboga, Turkey - Istanbul, Turkey",IST,ESB,41,28.99,40.11,32.99,352.19
"Dubai, United Arab Emirates - Manchester, United Kingdom",MAN,DXB,53.4,0.1,25.25,55.35,5502.48
"London, United Kingdom - Moscow, Russia",LHR,SVO,51.5,-0.45,55.96,37.42,2507.46
"Dubai, United Arab Emirates - Kuwait, Kuwait",DXB,KWI,25.3,55.35,29.25,47.97,851.34
"Bangkok, Thailand - Singapore, Singapore",SIN,BKK,1.3,103.98,13.71,100.77,1424.80
"Johannesburg, South Africa - Sydney, Australia",JNB,SYD,-26.1,28.23,-33.92,151.23,11036.76
"Hanover, Germany - London, United Kingdom",LHR,HAJ,51.5,-0.45,52.46,9.7,702.90
"Delhi, India - Poona, India",DEL,PNQ,28.7,77.26,18.58,73.91,1176.02
"Casablanca-mohamed V., Morocco - London, United Kingdom",LHR,CMN,51.5,-0.45,33.37,-7.58,2097.30
"Hong Kong, Hong Kong - Shanghai, China",HKG,PVG,22.3,113.94,31.12,121.8,1252.98
"Bangkok, Thailand - Hong Kong, Hong Kong",HKG,BKK,22.3,113.94,13.71,100.77,1687.60
"London, United Kingdom - Riyadh, Saudi Arabia",RUH,LHR,24.9,46.71,51.47,-0.45,4946.79
"New York, United States Of America - Paris, France",JFK,CDG,40.6,-73.79,49.01,2.54,5838.12
"Johannesburg, South Africa - Mauritius, Mauritius",MRU,JNB,-20.4,57.68,-26.13,28.23,3068.92
"Dublin, Republic Of Ireland - New York, United States Of America",DUB,JFK,53.3,-6.25,40.64,-73.79,5109.39
"New York, United States Of America - Zurich, Switzerland",ZRH,JFK,47.5,8.57,40.64,-73.79,6311.68
"Boston, United States Of America - New York, United States Of America",JFK,BOS,40.6,-73.79,42.21,-71,293.64
"Manchester, United Kingdom - Southampton, United Kingdom",SOU,MAN,51,-1.36,53.37,0.1,281.77
"Dubai, United Arab Emirates - Geneva, Switzerland",GVA,DXB,46.2,6.11,25.25,55.35,4919.05
"New York, United States Of America - Zurich, Switzerland",ZRH,JFK,47.5,8.57,40.64,-73.79,6311.68
"Beirut, Lebanon - Geneva, Switzerland",GVA,BEY,46.2,6.11,33.82,35.49,2833.23
"Bombay, India - Dubai, United Arab Emirates",BOM,DXB,19.1,72.86,25.25,55.35,1926.73
"Munich, Germany - Newark, United States Of America",MUC,EWR,48.3,11.77,40.69,-74.18,6507.42
"Milan, Italy - Rome, Italy",LIN,FCO,45.5,9.18,41.9,12.5,481.15
"London, United Kingdom - Los Angeles, United States Of America",LAX,LHR,34.1,-118.24,51.47,-0.45,8739.59
"Hong Kong, Hong Kong - Sydney, Australia",SYD,HKG,-33.9,151.23,22.32,113.94,7394.48
"Milwaukee, United States Of America - New York, United States Of America",LGA,MKE,40.8,-73.88,42.95,-87.91,1184.81
"Hong Kong, Hong Kong - Taipei, Taiwan",HKG,TPE,22.3,113.94,25.08,121.24,805.08
"Copenhagen, Denmark - Stockholm, Sweden",CPH,ARN,55.6,12.64,60.74,15.85,601.74
"Manchester, United Kingdom - Philadelphia, United States Of America",MAN,PHL,53.4,0.1,45.05,-89.01,6108.58
"Montreal, Canada - Toronto Island, Canada",YUL,YTZ,45.5,-73.75,43.63,-79.4,493.53
"Madrid, Spain - Milan, Italy",MAD,MIL,40.5,-3.58,37.72,15.12,1639.97
"Frankfurt, Germany - Singapore, Singapore",FRA,SIN,50.1,8.56,1.34,103.98,10282.13
"Grand Cayman, Cayman Islands - London, United Kingdom",GCM,LHR,19.3,-81.36,51.47,-0.45,7721.85
"Beirut, Lebanon - Dubai, United Arab Emirates",DXB,BEY,25.3,55.35,33.82,35.49,2137.16
"New York, United States Of America - Prague, Czech Republic",JFK,PRG,40.6,-73.79,50.08,14.43,6568.28
"Accra, Ghana - Nairobi, Kenya",ACC,NBO,5.6,-0.17,-1.28,36.81,4178.29
"Dubai, United Arab Emirates - Karachi, Pakistan",KHI,DXB,24.9,67.15,25.25,55.35,1189.03
"Melbourne, Australia - Sydney, Australia",SYD,MEL,-33.9,151.23,-37.67,144.85,711.89
"Addis Ababa, Ethiopia - Nairobi, Kenya",NBO,ADD,-1.3,36.81,8.98,38.8,1164.48
